distributor,zrep,category,demand segment,year,period,rolling_period,sell_out_actuals_qty,sell_out_forecast_qty_deimos,sell_out_forecast_qty,price,in_transit,target_inventory,beginning_inventory,woh_inventory_required,sell_in_actuals_qty,sell_in_forecast_qty,ending_inventory,planner_group,doh
D9,Product_1,C1,Seg 1,2024,4,P-25,17.5,20.7,20.7,264.23,0,6,0,21.1,41.8,41.8,21.1,High,28.6
D9,Product_1,C1,Seg 1,2024,5,P-24,30.9,14.1,14.1,264.00,0,6,0,32.2,46.3,46.3,32.2,High,64.2
D9,Product_1,C1,Seg 1,2024,6,P-23,14.5,21.5,21.5,264.54,0,6,0,33.9,55.4,55.4,33.9,High,44.2
D9,Product_1,C1,Seg 1,2024,7,P-22,33.9,22.6,22.6,264.85,0,6,0,45.4,68,68,45.4,High,56.2
D9,Product_1,C1,Seg 1,2024,8,P-21,9.9,30.3,30.3,264.42,0,6,0,42.6,72.9,72.9,42.6,High,39.4
D9,Product_1,C1,Seg 1,2024,9,P-20,10.5,28.4,28.4,264.69,0,6,0,40.8,69.2,69.2,40.8,High,40.2
D9,Product_1,C1,Seg 1,2024,10,P-19,18.2,27.2,27.2,264.49,0,6,0,38.5,65.7,65.7,38.5,High,39.7
D9,Product_1,C1,Seg 1,2024,11,P-18,26.2,25.7,25.7,264.68,0,6,0,29,54.7,54.7,29,High,31.6
D9,Product_1,C1,Seg 1,2024,12,P-17,9.4,19.3,19.3,265.35,0,6,0,28.7,48,48,28.7,High,41.5
D9,Product_1,C1,Seg 1,2024,13,P-16,42.3,19.1,19.1,264.91,0,6,103.2,29.7,0,0,84.1,High,123.1
D9,Product_1,C1,Seg 1,2025,1,P-15,8.8,19.8,19.8,264.52,0,6,87.3,35.6,0,0,67.5,High,95.6
D9,Product_1,C1,Seg 1,2025,2,P-14,11.6,23.7,23.7,265.12,0,6,63.8,34.4,0,0,40.1,High,47.3
D9,Product_1,C1,Seg 1,2025,3,P-13,39.7,22.9,22.9,265.05,0,6,77.8,30.8,0,0,54.8,High,67
D9,Product_1,C1,Seg 1,2025,4,P-12,56,20.5,20.5,265.26,0,6,73.3,26.2,0,0,52.7,High,71.8
D9,Product_1,C1,Seg 1,2025,5,P-11,77.6,17.5,17.5,264.23,0,6,79,31.9,0,0,61.5,High,98.6
D9,Product_1,C1,Seg 1,2025,6,P-10,243.9,21.3,21.3,264.14,0,6,55.1,29,0,0,33.8,High,44.6
D9,Product_1,C1,Seg 1,2025,7,P-9,312.6,19.3,19.3,265.07,0,6,89.3,27.8,0,0,70,High,101.4
D9,Product_1,C1,Seg 1,2025,8,P-8,258.4,18.5,18.5,265.26,0,6,75.5,20,0,0,57,High,86
D9,Product_1,C1,Seg 1,2025,9,P-7,205.1,13.3,13.3,265.04,0,6,62.7,25.9,0,0,49.4,High,103.8
D9,Product_1,C1,Seg 1,2025,10,P-6,335.6,17.2,17.2,265.40,0,6,49.6,28,0,0,32.3,High,52.5
